date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:11:52	10449/10449	---MCZ	200	added ('OK')	text/css	date:Sun,%2020%20Mar%202016%2004:40:38%20GMT	http://svencreations.com/demo/css/main.css	C:/My%20Web%20Sites/7even/svencreations.com/demo/css/main.css	(from http://svencreations.com/demo/slideshow.html)
03:12:17	149923/149923	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Mar%202016%2004:28:16%20GMT	http://svencreations.com/demo/images/slideshow/slide-3.jpg	C:/My%20Web%20Sites/7even/svencreations.com/demo/images/slideshow/slide-3.jpg	(from http://svencreations.com/demo/slideshow.html)
03:12:42	330544/330544	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Mar%202016%2004:28:16%20GMT	http://svencreations.com/demo/images/slideshow/slide-1.jpg	C:/My%20Web%20Sites/7even/svencreations.com/demo/images/slideshow/slide-1.jpg	(from http://svencreations.com/demo/slideshow.html)
03:12:46	328535/328535	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Mar%202016%2004:28:16%20GMT	http://svencreations.com/demo/images/slideshow/slide-4.jpg	C:/My%20Web%20Sites/7even/svencreations.com/demo/images/slideshow/slide-4.jpg	(from http://svencreations.com/demo/slideshow.html)
03:13:01	431883/431883	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Mar%202016%2004:28:16%20GMT	http://svencreations.com/demo/images/slideshow/slide-2.jpg	C:/My%20Web%20Sites/7even/svencreations.com/demo/images/slideshow/slide-2.jpg	(from http://svencreations.com/demo/slideshow.html)
03:13:03	6787/6787	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Mar%202016%2004:28:16%20GMT	http://svencreations.com/demo/images/sven-logo4.png	C:/My%20Web%20Sites/7even/svencreations.com/demo/images/sven-logo4.png	(from http://svencreations.com/demo/slideshow.html)
03:13:12	190228/190228	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Mar%202016%2004:28:16%20GMT	http://svencreations.com/demo/images/slideshow/slide-6.jpg	C:/My%20Web%20Sites/7even/svencreations.com/demo/images/slideshow/slide-6.jpg	(from http://svencreations.com/demo/slideshow.html)
03:13:15	36868/36868	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c5b5b2fa19bd66ff23211d9f844e0131%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	C:/My%20Web%20Sites/7even/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	(from http://svencreations.com/demo/slideshow.html)
03:13:20	214837/214837	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Mar%202016%2004:28:16%20GMT	http://svencreations.com/demo/images/slideshow/slide-7.jpg	C:/My%20Web%20Sites/7even/svencreations.com/demo/images/slideshow/slide-7.jpg	(from http://svencreations.com/demo/slideshow.html)
03:13:20	59752/59752	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2021%20Mar%202016%2020:58:10%20GMT	http://svencreations.com/demo/js/vendor/soundjs-NEXT.min.js	C:/My%20Web%20Sites/7even/svencreations.com/demo/js/vendor/soundjs-NEXT.min.js	(from http://svencreations.com/demo/slideshow.html)
03:13:20	95992/95992	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	C:/My%20Web%20Sites/7even/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from http://svencreations.com/demo/slideshow.html)
03:13:22	56835/56835	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2021%20Mar%202016%2020:57:34%20GMT	http://svencreations.com/demo/js/vendor/preloadjs-NEXT.min.js	C:/My%20Web%20Sites/7even/svencreations.com/demo/js/vendor/preloadjs-NEXT.min.js	(from http://svencreations.com/demo/slideshow.html)
03:13:23	434757/434757	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Mar%202016%2004:28:16%20GMT	http://svencreations.com/demo/images/slideshow/slide-5.jpg	C:/My%20Web%20Sites/7even/svencreations.com/demo/images/slideshow/slide-5.jpg	(from http://svencreations.com/demo/slideshow.html)
03:13:23	20684/20684	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2020%20Mar%202016%2004:43:54%20GMT	http://svencreations.com/demo/js/vendor/sven-dependencies.js	C:/My%20Web%20Sites/7even/svencreations.com/demo/js/vendor/sven-dependencies.js	(from http://svencreations.com/demo/slideshow.html)
03:13:24	2583/2583	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2021%20Mar%202016%2021:10:30%20GMT	http://svencreations.com/demo/js/main.js	C:/My%20Web%20Sites/7even/svencreations.com/demo/js/main.js	(from http://svencreations.com/demo/slideshow.html)
03:13:25	114020/114020	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2021%20Mar%202016%2021:07:12%20GMT	http://svencreations.com/demo/js/sven-teaser.js	C:/My%20Web%20Sites/7even/svencreations.com/demo/js/sven-teaser.js	(from http://svencreations.com/demo/slideshow.html)
03:13:25	108426/108426	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Dec%202015%2006:01:57%20GMT	http://cdnjs.cloudflare.com/ajax/libs/gsap/1.18.2/TweenMax.min.js	C:/My%20Web%20Sites/7even/cdnjs.cloudflare.com/ajax/libs/gsap/1.18.2/TweenMax.min.js	(from http://svencreations.com/demo/slideshow.html)
03:13:26	26299/26299	---MC-	200	added ('OK')	text/javascript	date:Mon,%2004%20Apr%202016%2019:58:52%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/7even/www.google-analytics.com/analytics.js	(from http://svencreations.com/demo/slideshow.html)
